Order_Clements,Family_Clements,Species_Clements,Species_BirdTree,Match.type,Daughter,Status
Caprimulgiformes,Trochilidae,Abeillia abeillei,Abeillia abeillei,1BT to 1CL,0,Extant
Passeriformes,Scotocercidae,Abroscopus albogularis,Abroscopus albogularis,1BT to 1CL,0,Extant
Passeriformes,Scotocercidae,Abroscopus schisticeps,Abroscopus schisticeps,1BT to 1CL,0,Extant
Passeriformes,Scotocercidae,Abroscopus superciliaris,Abroscopus superciliaris,1BT to 1CL,0,Extant
Galliformes,Cracidae,Aburria aburri,Aburria aburri,1BT to 1CL,0,Extant
Passeriformes,Meliphagidae,Acanthagenys rufogularis,Acanthagenys rufogularis,1BT to 1CL,0,Extant
Passeriformes,Thraupidae,Acanthidops bairdi,Acanthidops bairdii,1BT to 1CL,0,Extant
Passeriformes,Fringillidae,Acanthis hornemanni,Carduelis hornemanni,1BT to 1CL,0,Extant
Passeriformes,Acanthisittidae,Acanthisitta chloris,Acanthisitta chloris,1BT to 1CL,0,Extant
Passeriformes,Acanthizidae,Acanthiza apicalis,Acanthiza apicalis,1BT to 1CL,0,Extant
Passeriformes,Acanthizidae,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,1BT to 1CL,0,Extant
Passeriformes,Acanthizidae,Acanthiza cinerea,Gerygone cinerea,1BT to 1CL,0,Extant
Passeriformes,Acanthizidae,Acanthiza ewingii,Acanthiza ewingii,1BT to 1CL,0,Extant
Passeriformes,Acanthizidae,Acanthiza inornata,Acanthiza inornata,1BT to 1CL,0,Extant
Passeriformes,Acanthizidae,Acanthiza iredalei,Acanthiza iredalei,1BT to 1CL,0,Extant
Passeriformes,Acanthizidae,Acanthiza katherina,Acanthiza katherina,1BT to 1CL,0,Extant
Passeriformes,Acanthizidae,Acanthiza lineata,Acanthiza lineata,1BT to 1CL,0,Extant
Passeriformes,Acanthizidae,Acanthiza murina,Acanthiza murina,1BT to 1CL,0,Extant
Passeriformes,Acanthizidae,Acanthiza nana,Acanthiza nana,1BT to 1CL,0,Extant
