Species_BirdTree,Wing.Length,Secondary1,Hand.Wing.Index,Hand.Wing.Area,Data.type,Total.wing.area,Wingspan,Wing.aspect.ratio,Source_Total.wing.area_Wingspan,Max.Elevation.1,Source_Max.Elevation.1,Max.Elevation.2,Source_Max.Elevation.2,Min.Elevation.1,Source_Min.Elevation.1,Min.Elevation.2,Source_Min.Elevation.2,Mean.Elevation.1,Mean.Elevation.2,Centroid.latitude,Max.latitude,Min.latitude,Temp. seasonality,Habitat.Openness,Body.Mass,Flight.Mode,Aerial.Lifestyle,Aerial.Lifestyle.Certainty,Migration,Trophic.Level,Habitat.type
Abeillia abeillei,47.0,15.5,66.3,1144.33,Observed,NA,NA,NA,NA,2200,White et al. (2015),2200,White et al. (2015); Quintero et al. (2018),1000,White et al. (2015),1000,White et al. (2015); Quintero et al. (2018),1600,1600,15.29,19.77,12.78,132.11,2,2.7,flapping,3,A,1,1ry consumer,Terrestrial
Abroscopus albogularis,43.4,37.3,13.3,2542.84,Observed,NA,NA,NA,NA,1800,White et al. (2015),1800,White et al. (2015); Quintero et al. (2018),300,White et al. (2015),300,White et al. (2015); Quintero et al. (2018),1050,1050,24.78,31.56,14.97,517.77,1,4.8,flapping,1,A,1,2ry consumer,Terrestrial
Abroscopus schisticeps,47.1,39.5,16.1,2922.39,Observed,NA,NA,NA,NA,2350,White et al. (2015),2350,White et al. (2015); Quintero et al. (2018),1525,White et al. (2015),1525,White et al. (2015); Quintero et al. (2018),1937.5,1937.5,26.7,31.12,20.19,501.92,1,4.7,flapping,1,A,1,2ry consumer,Terrestrial
Abroscopus superciliaris,51.2,44.5,12.7,3578.90,Observed,NA,NA,NA,NA,2285,White et al. (2015),2285,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1142.5,1142.5,9.89,28.81,0.00,167.91,1,6.5,flapping,1,A,1,2ry consumer,Terrestrial
Aburria aburri,337.2,283.1,15.7,149950.29,Observed,NA,NA,NA,NA,3500,del Hoyo (2020),3500,del Hoyo (2020),300,del Hoyo (2020),0,Quintero et al. (2018),1900,1750,-2.79,13.43,0.00,60.35,1,1405.1,flapping,1,A,1,1ry consumer,Terrestrial
Acanthagenys rufogularis,111.1,82.8,23.2,14449.88,Observed,NA,NA,NA,NA,550,Quintero et al. (2018),550,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),275,275,-27.1,38.86,16.14,539.02,2,47.8,flapping,1,B,1,1ry consumer,Terrestrial
Acanthidops bairdii,66.0,54.7,17.0,5670.89,Observed,NA,NA,NA,NA,3000,White et al. (2015),3100,Quintero et al. (2018),1500,White et al. (2015),1500,White et al. (2015); Quintero et al. (2018),2250,2300,9.56,10.38,8.80,65.89,1,16.0,flapping,1,A,2,1ry consumer,Terrestrial
Acanthisitta chloris,46.0,38.1,13.9,2752.98,Observed,NA,NA,NA,NA,1550,White et al. (2015),1550,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),775,775,-42.25,47.28,35.38,348.44,1,6.9,flapping,1,A,1,2ry consumer,Terrestrial
Acanthiza apicalis,51.0,43.2,14.2,3460.78,Observed,NA,NA,NA,NA,950,Quintero et al. (2018),950,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),475,475,-27.63,36.00,16.78,550.53,2,7.6,flapping,1,B,1,2ry consumer,Terrestrial
Acanthiza chrysorrhoa,58.3,49.1,15.6,4496.45,Observed,NA,NA,NA,NA,800,White et al. (2015),950,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),400,475,-28.8,43.64,18.56,524.44,2,9.3,flapping,1,B,1,2ry consumer,Terrestrial
Acanthiza ewingii,52.2,42.5,16.3,3484.81,Observed,NA,NA,NA,NA,1270,Quintero et al. (2018),1270,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),635,635,-41.94,43.64,39.44,280.17,2,6.9,flapping,1,B,1,2ry consumer,Terrestrial
Acanthiza inornata,47.8,41.0,12.8,3078.45,Observed,NA,NA,NA,NA,400,del Hoyo (2020),400,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),200,200,-32.67,35.19,29.16,410.22,2,7.0,flapping,1,A,1,2ry consumer,Terrestrial
Acanthiza iredalei,48.4,39.8,15.3,3025.86,Observed,NA,NA,NA,NA,500,Quintero et al. (2018),500,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),250,250,-31.22,38.86,24.06,490.88,2,6.0,flapping,1,B,1,2ry consumer,Terrestrial
Acanthiza katherina,52.1,42.7,17.6,3494.50,Observed,NA,NA,NA,NA,1600,White et al. (2015),1600,White et al. (2015); Quintero et al. (2018),450,White et al. (2015),450,White et al. (2015); Quintero et al. (2018),1025,1025,-17.76,19.07,15.76,282.89,1,7.2,flapping,1,B,1,2ry consumer,Terrestrial
Acanthiza lineata,51.5,40.0,19.1,3235.84,Observed,NA,NA,NA,NA,1800,Quintero et al. (2018),1800,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),900,900,-32.16,39.24,23.09,467.16,2,6.9,flapping,1,B,1,1ry consumer,Terrestrial
Acanthiza murina,57.1,44.0,22.5,3946.47,Observed,NA,NA,NA,NA,3700,White et al. (2015),3700,White et al. (2015); Quintero et al. (2018),1930,White et al. (2015),1930,White et al. (2015); Quintero et al. (2018),2815,2815,-5.39,9.63,3.38,39.43,1,8.4,flapping,1,C,1,2ry consumer,Terrestrial
Acanthiza nana,49.1,40.8,17.8,3146.74,Observed,NA,NA,NA,NA,950,Quintero et al. (2018),950,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),475,475,-29.95,39.14,15.68,496.96,2,6.2,flapping,1,B,1,2ry consumer,Terrestrial
Acanthiza pusilla,51.8,44.1,14.6,3588.30,Observed,NA,NA,NA,NA,1200,del Hoyo (2020),1850,Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); White et al. (2015); Quintero et al. (2018),600,925,-32.24,43.64,20.00,448.02,2,7.6,flapping,1,A,1,2ry consumer,Terrestrial
Acanthiza reguloides,52.0,44.7,14.0,3651.16,Observed,NA,NA,NA,NA,1530,Quintero et al. (2018),1530,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),765,765,-29.59,39.14,15.80,479.22,2,7.7,flapping,1,A,1,2ry consumer,Terrestrial
Acanthiza robustirostris,50.8,42.8,15.2,3415.29,Observed,NA,NA,NA,NA,700,del Hoyo (2020),700,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),350,350,-25.85,30.40,19.66,590.63,2,6.1,flapping,1,C,2,2ry consumer,Terrestrial
Acanthiza uropygialis,51.8,44.6,15.0,3628.98,Observed,NA,NA,NA,NA,800,Quintero et al. (2018),800,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),400,400,-28.24,38.05,19.82,557.39,2,6.4,flapping,1,B,1,2ry consumer,Terrestrial
Acanthorhynchus superciliosus,61.3,50.1,15.9,4824.12,Observed,NA,NA,NA,NA,400,del Hoyo (2020),400,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020),200,200,-32.88,35.14,28.90,388.43,2,9.7,flapping,1,B,1,1ry consumer,Terrestrial
Acanthorhynchus tenuirostris,65.6,54.6,20.6,5626.22,Observed,NA,NA,NA,NA,1200,del Hoyo (2020),1600,Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); White et al. (2015); Quintero et al. (2018),600,800,-33.06,43.64,15.00,409.63,2,10.4,flapping,1,B,1,1ry consumer,Terrestrial
Acanthornis magna,56.0,46.1,16.6,4055.17,Observed,NA,NA,NA,NA,1000,Quintero et al. (2018),1000,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),500,500,-41.92,43.64,39.58,276.49,1,10.2,flapping,1,A,1,2ry consumer,Terrestrial
Accipiter albogularis,235.2,159.5,33.9,58927.48,Observed,NA,NA,NA,NA,1800,White et al. (2015),1800,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),900,900,-8.15,11.73,4.02,35.41,1,248.8,soaring,3,B,2,2ry consumer,Terrestrial
Accipiter badius,186.7,127.4,32.9,37362.30,Observed,NA,NA,NA,NA,3000,del Hoyo (2020),3000,del Hoyo (2020); Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),1500,1500,8.23,46.39,0.00,321.59,2,131.2,soaring,3,A,3,2ry consumer,Terrestrial
Accipiter bicolor,231.8,189.6,19.8,69035.37,Observed,NA,NA,NA,NA,2700,del Hoyo (2020),2700,del Hoyo (2020); Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); White et al. (2015); Quintero et al. (2018),1350,1350,NA,NA,NA,NA,2,287.5,flapping,2,A,2,2ry consumer,Terrestrial
Accipiter brachyurus,202.2,138.1,31.7,43862.63,Observed,NA,NA,NA,NA,1800,del Hoyo (2020),1800,del Hoyo (2020); White et al. (2015); Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020),900,900,-5.45,6.31,4.08,37.11,1,142.0,soaring,2,B,2,2ry consumer,Terrestrial
Accipiter brevipes,217.6,129.9,40.2,44400.51,Observed,73912.50,697.50,6.58,Bruderer et al. (2010); Malo et al. (2021); Shiomi et al. (2024),2000,del Hoyo (2020),2000,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),1000,1000,45.24,55.86,31.19,1013.00,1,186.5,soaring,3,A,3,2ry consumer,Terrestrial
