Species_BirdTree,Migration,Ref.1_max.elevation,Ref.1_min.elevation,Ref.2_max.elevation,Ref.2_min.elevation,Updated_max.elevation,Updated_min.elevation,Source_updated.elevation
Abeillia abeillei,1,2200,1000,2200,1000,NA,NA,NA
Abroscopus albogularis,1,1800,300,1800,300,NA,NA,NA
Abroscopus schisticeps,1,2350,1525,2350,1525,NA,NA,NA
Abroscopus superciliaris,1,2285,NA,2285,0,NA,NA,NA
Aburria aburri,1,2500,500,2500,0,3500,300,del Hoyo (2020)
Acanthagenys rufogularis,1,NA,NA,550,0,NA,NA,NA
Acanthidops bairdii,2,3000,1500,3100,1500,NA,NA,NA
Acanthisitta chloris,1,1550,NA,1550,0,NA,NA,NA
Acanthiza apicalis,1,NA,NA,950,0,NA,NA,NA
Acanthiza chrysorrhoa,1,800,NA,950,0,NA,NA,NA
Acanthiza ewingii,1,NA,NA,1270,0,NA,NA,NA
Acanthiza inornata,1,NA,NA,NA,NA,400,0,del Hoyo (2020)
Acanthiza iredalei,1,NA,NA,500,0,NA,NA,NA
Acanthiza katherina,1,1600,450,1600,450,NA,NA,NA
Acanthiza lineata,1,NA,NA,1800,0,NA,NA,NA
Acanthiza murina,1,3700,1930,3700,1930,NA,NA,NA
Acanthiza nana,1,NA,NA,950,0,NA,NA,NA
Acanthiza pusilla,1,1200,0,1850,0,1200,0,del Hoyo (2020)
Acanthiza reguloides,1,NA,NA,1530,0,NA,NA,NA
Acanthiza robustirostris,2,NA,NA,600,8,700,0,del Hoyo (2020)
Acanthiza uropygialis,1,NA,NA,800,0,NA,NA,NA
Acanthorhynchus superciliosus,1,NA,NA,NA,NA,400,0,del Hoyo (2020)
Acanthorhynchus tenuirostris,1,1200,0,1600,0,1200,0,del Hoyo (2020)
Acanthornis magna,1,NA,NA,1000,0,NA,NA,NA
Accipiter albogularis,2,1800,0,1800,0,NA,NA,NA
Accipiter badius,3,NA,NA,3000,0,3000,0,del Hoyo (2020)
Accipiter bicolor,2,2000,0,2700,0,2700,0,del Hoyo (2020)
Accipiter brachyurus,2,1800,NA,1800,1200,1800,0,del Hoyo (2020)
Accipiter brevipes,3,NA,NA,1000,0,2000,0,del Hoyo (2020)
Accipiter butleri,1,NA,NA,NA,NA,100,0,del Hoyo (2020)
Accipiter castanilius,2,NA,NA,750,0,800,0,del Hoyo (2020)
Accipiter chilensis,2,NA,NA,NA,NA,1200,0,Birds of the World (2022)
Accipiter chionogaster,3,NA,NA,1080,600,3000,600,del Hoyo (2020)
Accipiter cirrocephalus,2,2500,0,2500,0,NA,NA,NA
